#bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
585	NM_177987	chr10	-	92827	95178	92996	95178	4	92827,94554,94743,95121,	94054,94665,94852,95178,	0	TUBB8	cmpl	cmpl	1,1,0,0,
73	NM_006624	chr10	+	180404	300577	225952	298410	15	180404,225933,255828,267134,282777,283524,285377,285995,286832,287960,292705,293337,294275,294842,298287,	180726,226068,255988,267296,282855,283617,285465,286051,286910,288079,292913,293406,294548,295028,300577,	0	ZMYND11	cmpl	cmpl	-1,0,2,0,0,0,0,1,0,0,2,0,0,0,0,
73	NM_001202466	chr10	+	180423	300577	225952	298410	14	180423,225933,255828,282777,283524,285377,285998,286832,287960,292705,293337,294275,294842,298287,	180832,226068,255988,282855,283617,285465,286051,286910,288079,292913,293406,294548,295028,300577,	0	ZMYND11	cmpl	cmpl	-1,0,2,0,0,0,1,0,0,2,0,0,0,0,
73	NM_001202465	chr10	+	180423	300577	225952	298410	13	180423,225933,255828,282777,285377,285995,286832,287960,292705,293337,294275,294842,298287,	180832,226068,255988,282855,285465,286051,286910,288079,292913,293406,294548,295028,300577,	0	ZMYND11	cmpl	cmpl	-1,0,2,0,0,1,0,0,2,0,0,0,0,
73	NM_212479	chr10	+	180423	295729	225952	295049	14	180423,225933,255828,267134,282777,283524,285377,285998,286832,287960,292705,293337,294275,294842,	180832,226068,255988,267296,282855,283617,285465,286051,286910,288079,292913,293406,294548,295729,	0	ZMYND11	cmpl	cmpl	-1,0,2,0,0,0,0,1,0,0,2,0,0,0,
73	NM_001202464	chr10	+	181423	300577	225952	298410	14	181423,225933,255828,282777,283524,285377,285995,286832,287960,292705,293337,294275,294842,298287,	181499,226068,255988,282855,283617,285465,286051,286910,288079,292913,293406,294548,295028,300577,	0	ZMYND11	cmpl	cmpl	-1,0,2,0,0,0,1,0,0,2,0,0,0,0,
73	NM_001202468	chr10	+	225933	295729	225952	295049	13	225933,255828,267134,282777,283524,285377,285995,286832,287960,292705,293337,294275,294842,	226068,255988,267296,282855,283617,285465,286051,286910,288079,292913,293406,294548,295729,	0	ZMYND11	cmpl	cmpl	0,2,0,0,0,0,1,0,0,2,0,0,0,
73	NM_001202467	chr10	+	225933	295729	225952	295049	12	225933,255828,282777,283524,285377,285995,286832,287960,292705,293337,294275,294842,	226068,255988,282855,283617,285465,286051,286910,288079,292913,293406,294548,295729,	0	ZMYND11	cmpl	cmpl	0,2,0,0,0,1,0,0,2,0,0,0,
73	NM_014974	chr10	-	320129	735608	323264	735518	37	320129,327139,329211,332212,334303,355970,372945,375372,387138,390748,390938,394580,395270,402365,403767,408429,409136,410313,412214,415433,428586,429966,430485,433684,435930,436203,436679,445048,454865,459852,461708,465004,468763,486810,518378,532398,735433,	323517,327263,329386,332287,334361,356032,373116,375541,387269,390858,391050,394702,395394,402446,403877,408631,409251,410522,412351,415573,428701,430086,430579,433749,436033,436313,436803,445159,454957,460050,461828,465139,468973,486936,518489,532470,735608,	0	DIP2C	cmpl	cmpl	2,1,0,0,2,0,0,2,0,1,0,1,0,0,1,0,2,0,1,2,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,
590	NR_027151	chr10	+	695887	698595	698595	698595	3	695887,696230,697050,	696118,696382,698595,	0	C10orf108	unk	unk	-1,-1,-1,
590	NR_027152	chr10	+	696016	711109	711109	711109	3	696016,707965,708730,	696382,708058,711109,	0	C10orf108	unk	unk	-1,-1,-1,
73	NM_015155	chr10	-	855483	931702	858865	931661	17	855483,860681,860885,863664,866739,871004,871703,875324,875620,876806,882342,888871,890916,909682,910062,930386,931580,	859153,860790,861010,863829,866785,871256,871810,875534,875674,876917,882446,889008,890995,909823,910210,930446,931702,	0	LARP4B	cmpl	cmpl	0,2,0,0,2,2,0,0,0,0,1,2,1,1,0,0,0,
9	NM_012341	chr10	+	1034348	1063708	1034419	1063167	17	1034348,1038428,1041868,1042045,1043147,1044942,1046616,1046887,1051757,1052957,1054897,1055468,1056359,1058404,1060186,1061692,1063014,	1034467,1038599,1041972,1042182,1043248,1045035,1046808,1046953,1051847,1053068,1054975,1055520,1056460,1058602,1060252,1061836,1063708,	0	GTPBP4	cmpl	cmpl	0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,
593	NM_033261	chr10	-	1064846	1071799	1065456	1070663	5	1064846,1066706,1068622,1070521,1071755,	1065774,1066837,1068715,1070684,1071799,	0	IDI2	cmpl	cmpl	0,1,1,0,-1,
