
[parse_sam] # Query: 0 len=1163
[occ_c_iter] Contig CUFF.3734.1 
CUFF.1.1: no touched! length 1189
CUFF.2.1: no touched! length 520
CUFF.3.1: no touched! length 1986
CUFF.4.1: no touched! length 1376
CUFF.5.1: no touched! length 1232
CUFF.6.1: no touched! length 3584
CUFF.7.1: no touched! length 1922
CUFF.8.1: no touched! length 2040
CUFF.9.1: no touched! length 2931
CUFF.10.1: no touched! length 1796
CUFF.11.1: no touched! length 2194
CUFF.12.1: no touched! length 3233
CUFF.13.1: no touched! length 2165
CUFF.14.1: no touched! length 1321
CUFF.15.1: no touched! length 1372
CUFF.16.1: no touched! length 1030
CUFF.17.1: no touched! length 1706
CUFF.18.1: no touched! length 3957
CUFF.19.1: no touched! length 3596
CUFF.20.1: no touched! length 3521
CUFF.21.1: no touched! length 5109
CUFF.22.1: no touched! length 4233
CUFF.23.1: no touched! length 6223
CUFF.24.1: no touched! length 964
CUFF.25.1: no touched! length 741
CUFF.26.1: no touched! length 1353
CUFF.27.1: no touched! length 2233
CUFF.28.1: no touched! length 1731
CUFF.29.1: no touched! length 5980
CUFF.30.1: no touched! length 8751
CUFF.31.1: no touched! length 1417
CUFF.32.1: no touched! length 3275
CUFF.33.1: no touched! length 965
CUFF.34.1: no touched! length 867
CUFF.35.1: no touched! length 3952
CUFF.36.1: no touched! length 1038
CUFF.37.1: no touched! length 5372
CUFF.38.1: no touched! length 1359
CUFF.39.1: no touched! length 3051
CUFF.40.1: no touched! length 1432
CUFF.41.1: no touched! length 1524
CUFF.42.1: no touched! length 425
CUFF.43.1: no touched! length 1954
CUFF.44.1: no touched! length 1723
CUFF.45.1: no touched! length 3246
CUFF.46.1: no touched! length 2240
CUFF.47.1: no touched! length 3976
CUFF.48.1: no touched! length 5670
CUFF.49.1: no touched! length 10890
CUFF.50.1: no touched! length 1260
CUFF.51.1: no touched! length 3597
CUFF.52.1: no touched! length 1668
CUFF.53.1: no touched! length 2921
CUFF.54.1: no touched! length 3095
CUFF.55.1: no touched! length 6995
CUFF.56.1: no touched! length 5435
CUFF.57.1: no touched! length 3645
CUFF.58.1: no touched! length 4478
CUFF.59.1: no touched! length 935
CUFF.60.1: no touched! length 5738
CUFF.61.1: no touched! length 3837
CUFF.62.1: no touched! length 4221
CUFF.63.1: no touched! length 1067
CUFF.64.1: no touched! length 935
CUFF.65.1: no touched! length 511
CUFF.66.1: no touched! length 2093
CUFF.67.1: no touched! length 1587
CUFF.68.1: no touched! length 1458
CUFF.69.1: no touched! length 1400
CUFF.70.1: no touched! length 1060
CUFF.71.1: no touched! length 7079
CUFF.72.1: no touched! length 5508
CUFF.73.1: no touched! length 6130
CUFF.74.1: no touched! length 3269
CUFF.75.1: no touched! length 1752
CUFF.76.1: no touched! length 6920
CUFF.77.1: no touched! length 4201
CUFF.78.1: no touched! length 2546
CUFF.79.1: no touched! length 826
CUFF.80.1: no touched! length 1750
CUFF.81.1: no touched! length 1648
CUFF.82.1: no touched! length 2189
CUFF.83.1: no touched! length 1005
CUFF.84.1: no touched! length 400
CUFF.85.1: no touched! length 5915
CUFF.86.1: no touched! length 5982
CUFF.87.1: no touched! length 2090
CUFF.88.1: no touched! length 3612
CUFF.89.1: no touched! length 1441
CUFF.90.1: no touched! length 309
CUFF.91.1: no touched! length 521
CUFF.92.1: no touched! length 1183
CUFF.93.1: no touched! length 1039
CUFF.94.1: no touched! length 1701
CUFF.95.1: no touched! length 4798
CUFF.96.1: no touched! length 1927
CUFF.97.1: no touched! length 2682
CUFF.98.1: no touched! length 2450
CUFF.99.1: no touched! length 1540
CUFF.100.1: no touched! length 2339
CUFF.101.1: no touched! length 3545
CUFF.102.1: no touched! length 4068
CUFF.103.1: no touched! length 4456
CUFF.104.1: no touched! length 1779
CUFF.105.1: no touched! length 2095
CUFF.106.1: no touched! length 1090
CUFF.107.1: no touched! length 946
CUFF.108.1: no touched! length 1716
CUFF.109.1: no touched! length 1941
CUFF.110.1: no touched! length 1557
CUFF.111.1: no touched! length 827
CUFF.112.1: no touched! length 631
CUFF.113.1: no touched! length 3780
CUFF.114.1: no touched! length 3877
CUFF.115.1: no touched! length 3088
CUFF.116.1: no touched! length 3107
CUFF.117.1: no touched! length 1851
CUFF.118.1: no touched! length 4427
CUFF.119.1: no touched! length 1204
CUFF.120.1: no touched! length 2802
CUFF.121.1: no touched! length 1154
CUFF.122.1: no touched! length 747
CUFF.123.1: no touched! length 2460
CUFF.124.1: no touched! length 3265
CUFF.125.1: no touched! length 2642
CUFF.126.1: no touched! length 3245
CUFF.127.1: no touched! length 1971
CUFF.128.1: no touched! length 8205
CUFF.129.1: no touched! length 1436
CUFF.130.1: no touched! length 1846
CUFF.131.1: no touched! length 5139
CUFF.132.1: no touched! length 817
CUFF.133.1: no touched! length 1776
CUFF.134.1: no touched! length 1739
CUFF.135.1: no touched! length 1186
CUFF.136.1: no touched! length 936
CUFF.137.1: no touched! length 4350
CUFF.138.1: no touched! length 2130
CUFF.139.1: no touched! length 3482
CUFF.140.1: no touched! length 810
CUFF.141.1: no touched! length 934
CUFF.142.1: no touched! length 3420
CUFF.143.1: no touched! length 9632
CUFF.144.1: no touched! length 9485
CUFF.145.1: no touched! length 7088
CUFF.146.1: no touched! length 5669
CUFF.147.1: no touched! length 4248
CUFF.148.1: no touched! length 2443
CUFF.149.1: no touched! length 3046
CUFF.150.1: no touched! length 2066
CUFF.151.1: no touched! length 3070
CUFF.152.1: no touched! length 4009
CUFF.153.1: no touched! length 1533
CUFF.154.1: no touched! length 3621
CUFF.155.1: no touched! length 2272
CUFF.156.1: no touched! length 828
CUFF.157.1: no touched! length 2186
CUFF.158.1: no touched! length 2699
CUFF.159.1: no touched! length 597
CUFF.160.1: no touched! length 1975
CUFF.161.1: no touched! length 2388
CUFF.162.1: no touched! length 3826
CUFF.163.1: no touched! length 4399
CUFF.164.1: no touched! length 7965
CUFF.165.1: no touched! length 1673
CUFF.166.1: no touched! length 2700
CUFF.167.1: no touched! length 4762
CUFF.168.1: no touched! length 2022
CUFF.169.1: no touched! length 3253
CUFF.170.1: no touched! length 1352
CUFF.171.1: no touched! length 968
CUFF.172.1: no touched! length 2055
CUFF.173.1: no touched! length 6791
CUFF.174.1: no touched! length 2996
CUFF.175.1: no touched! length 3104
CUFF.176.1: no touched! length 1835
CUFF.177.1: no touched! length 7991
CUFF.178.1: no touched! length 3361
CUFF.179.1: no touched! length 981
CUFF.180.1: no touched! length 2223
CUFF.181.1: no touched! length 2415
CUFF.182.1: no touched! length 1678
CUFF.183.1: no touched! length 665
CUFF.184.1: no touched! length 704
CUFF.185.1: no touched! length 3379
CUFF.186.1: no touched! length 521
CUFF.187.1: no touched! length 4924
CUFF.188.1: no touched! length 4911
CUFF.189.1: no touched! length 428
CUFF.190.1: no touched! length 1853
CUFF.191.1: no touched! length 1349
CUFF.192.1: no touched! length 4404
CUFF.193.1: no touched! length 2868
CUFF.194.1: no touched! length 3199
CUFF.195.1: no touched! length 4370
CUFF.196.1: no touched! length 3574
CUFF.197.1: no touched! length 1943
CUFF.198.1: no touched! length 7026
CUFF.199.1: no touched! length 1931
CUFF.200.1: no touched! length 3224
CUFF.201.1: no touched! length 295
CUFF.202.1: no touched! length 2270
CUFF.203.1: no touched! length 362
CUFF.204.1: no touched! length 3988
CUFF.205.1: no touched! length 1664
CUFF.206.1: no touched! length 2856
CUFF.207.1: no touched! length 3603
CUFF.208.1: no touched! length 5288
CUFF.209.1: no touched! length 645
CUFF.210.1: no touched! length 4816
CUFF.211.1: no touched! length 4760
CUFF.212.1: no touched! length 2137
CUFF.213.1: no touched! length 5194
CUFF.214.1: no touched! length 5371
CUFF.215.1: no touched! length 1101
CUFF.216.1: no touched! length 1739
CUFF.217.1: no touched! length 1659
CUFF.218.1: no touched! length 1671
CUFF.219.1: no touched! length 2985
CUFF.220.1: no touched! length 3265
CUFF.221.1: no touched! length 6332
CUFF.222.1: no touched! length 5702
CUFF.223.1: no touched! length 1699
CUFF.224.1: no touched! length 1221
CUFF.225.1: no touched! length 2520
CUFF.226.1: no touched! length 1632
CUFF.227.1: no touched! length 3758
CUFF.228.1: no touched! length 1544
CUFF.229.1: no touched! length 1320
CUFF.230.1: no touched! length 2715
CUFF.231.1: no touched! length 4082
CUFF.232.1: no touched! length 1903
CUFF.233.1: no touched! length 4451
