0:972:[41384342,41385313]
1:304:[41414297,41414600]
2:199:[41416004,41416202]
3:151:[41423884,41424034]
4:117:[41427651,41427767]
5:32:[41434795,41434826]
6:178:[41446963,41447140]
7:292:[41450613,41450904]
8:190:[41452078,41452267]
9:100:[41455834,41455933]
10:165:[41457528,41457692]
11:119:[41459096,41459214]
12:155:[41465647,41465801]
13:135:[41496121,41496255]
14:157:[41505780,41505936]
15:148:[41514484,41514631]
16:242:[41516417,41516658]
17:72:[41539144,41539215]
18:169:[41550853,41551021]
19:130:[41559057,41559186]
20:98:[41559817,41559914]
21:198:[41560968,41561165]
22:175:[41648023,41648197]
23:121:[41667981,41668101]
24:280:[41684007,41684286]
25:277:[41710027,41710303]
26:298:[41711045,41711342]
27:277:[41719596,41719872]
28:280:[41725391,41725670]
29:148:[41741025,41741172]
30:148:[42064735,42064882]
31:319:[42080379,42080697]
32:496:[42218544,42219039]
33:28:[17442841,17442868]
34:286:[17443433,17443718]
35:98:[17553910,17554007]
36:61:[17603375,17603435]
37:50:[17859809,17859858]
38:62:[17909698,17909759]
39:116:[17966659,17966774]
40:2782:[17979313,17982094]
41:256:[17566698,17566953]
36:61:[17603375,17603435]
42:73:[17763933,17764005]
37:50:[17859809,17859858]
38:62:[17909698,17909759]
40:2782:[17979313,17982094]
43:1223:[27252860,27254082]
44:148:[27264033,27264180]
45:102:[27269884,27269985]
46:223:[27284052,27284274]
47:101:[27326903,27327003]
48:130:[27327940,27328069]
49:160:[27347382,27347541]
50:76:[27348266,27348341]
51:135:[27354656,27354790]
52:58:[27369674,27369731]
53:169:[27372329,27372497]
54:204:[27394155,27394358]
55:195:[27423315,27423509]
56:114:[27425551,27425664]
57:131:[27462258,27462388]
58:169:[27484295,27484463]
59:258:[27542881,27543138]
43:1223:[27252860,27254082]
44:148:[27264033,27264180]
45:102:[27269884,27269985]
60:55:[27277335,27277389]
46:223:[27284052,27284274]
47:101:[27326903,27327003]
48:130:[27327940,27328069]
49:160:[27347382,27347541]
50:76:[27348266,27348341]
51:135:[27354656,27354790]
53:169:[27372329,27372497]
54:204:[27394155,27394358]
55:195:[27423315,27423509]
56:114:[27425551,27425664]
57:131:[27462258,27462388]
58:169:[27484295,27484463]
61:239:[27512470,27512708]
43:1223:[27252860,27254082]
44:148:[27264033,27264180]
45:102:[27269884,27269985]
60:55:[27277335,27277389]
46:223:[27284052,27284274]
47:101:[27326903,27327003]
48:130:[27327940,27328069]
49:160:[27347382,27347541]
50:76:[27348266,27348341]
51:135:[27354656,27354790]
52:58:[27369674,27369731]
53:169:[27372329,27372497]
54:204:[27394155,27394358]
55:195:[27423315,27423509]
56:114:[27425551,27425664]
57:131:[27462258,27462388]
58:169:[27484295,27484463]
59:258:[27542881,27543138]
43:1223:[27252860,27254082]
44:148:[27264033,27264180]
45:102:[27269884,27269985]
60:55:[27277335,27277389]
46:223:[27284052,27284274]
47:101:[27326903,27327003]
48:130:[27327940,27328069]
49:160:[27347382,27347541]
50:76:[27348266,27348341]
51:135:[27354656,27354790]
54:204:[27394155,27394358]
55:195:[27423315,27423509]
56:114:[27425551,27425664]
57:131:[27462258,27462388]
59:258:[27542881,27543138]
43:1223:[27252860,27254082]
44:148:[27264033,27264180]
45:102:[27269884,27269985]
60:55:[27277335,27277389]
46:223:[27284052,27284274]
47:101:[27326903,27327003]
48:130:[27327940,27328069]
49:160:[27347382,27347541]
50:76:[27348266,27348341]
51:135:[27354656,27354790]
52:58:[27369674,27369731]
53:169:[27372329,27372497]
54:204:[27394155,27394358]
55:195:[27423315,27423509]
56:114:[27425551,27425664]
57:131:[27462258,27462388]
59:258:[27542881,27543138]
43:1223:[27252860,27254082]
44:148:[27264033,27264180]
45:102:[27269884,27269985]
46:223:[27284052,27284274]
47:101:[27326903,27327003]
48:130:[27327940,27328069]
49:160:[27347382,27347541]
50:76:[27348266,27348341]
51:135:[27354656,27354790]
53:169:[27372329,27372497]
54:204:[27394155,27394358]
55:195:[27423315,27423509]
56:114:[27425551,27425664]
57:131:[27462258,27462388]
58:169:[27484295,27484463]
59:258:[27542881,27543138]
43:1223:[27252860,27254082]
44:148:[27264033,27264180]
45:102:[27269884,27269985]
60:55:[27277335,27277389]
46:223:[27284052,27284274]
47:101:[27326903,27327003]
48:130:[27327940,27328069]
49:160:[27347382,27347541]
50:76:[27348266,27348341]
51:135:[27354656,27354790]
53:169:[27372329,27372497]
54:204:[27394155,27394358]
55:195:[27423315,27423509]
56:114:[27425551,27425664]
57:131:[27462258,27462388]
58:169:[27484295,27484463]
59:258:[27542881,27543138]
43:1223:[27252860,27254082]
44:148:[27264033,27264180]
45:102:[27269884,27269985]
60:55:[27277335,27277389]
46:223:[27284052,27284274]
47:101:[27326903,27327003]
48:130:[27327940,27328069]
49:160:[27347382,27347541]
50:76:[27348266,27348341]
51:135:[27354656,27354790]
54:204:[27394155,27394358]
55:195:[27423315,27423509]
56:114:[27425551,27425664]
57:131:[27462258,27462388]
58:169:[27484295,27484463]
59:258:[27542881,27543138]
43:1223:[27252860,27254082]
44:148:[27264033,27264180]
45:102:[27269884,27269985]
60:55:[27277335,27277389]
46:223:[27284052,27284274]
47:101:[27326903,27327003]
48:130:[27327940,27328069]
49:160:[27347382,27347541]
50:76:[27348266,27348341]
51:135:[27354656,27354790]
54:204:[27394155,27394358]
55:195:[27423315,27423509]
56:114:[27425551,27425664]
57:131:[27462258,27462388]
58:169:[27484295,27484463]
62:145:[27543302,27543446]
63:6710:[28290230,28296939]
64:177:[28302204,28302380]
65:177:[28304322,28304498]
66:185:[28305179,28305363]
67:285:[28306784,28307068]
68:169:[28315698,28315866]
69:134:[28327057,28327190]
70:1834:[28337606,28339439]
71:162:[30396937,30397098]
72:103:[30400193,30400295]
73:180:[30402915,30403094]
74:105:[30407157,30407261]
75:105:[30408591,30408695]
76:186:[30409599,30409784]
77:97:[30410655,30410751]
78:132:[30411346,30411477]
79:89:[30411801,30411889]
80:80:[30412929,30413008]
81:93:[30414333,30414425]
82:58:[30414792,30414849]
83:178:[30415743,30415920]
84:656:[30418987,30419642]
85:96:[30421081,30421176]
86:88:[30422412,30422499]
87:158:[30426122,30426279]
88:422:[30426386,30426807]
71:162:[30396937,30397098]
89:64:[30398029,30398092]
72:103:[30400193,30400295]
73:180:[30402915,30403094]
74:105:[30407157,30407261]
75:105:[30408591,30408695]
90:189:[30409596,30409784]
77:97:[30410655,30410751]
78:132:[30411346,30411477]
79:89:[30411801,30411889]
80:80:[30412929,30413008]
81:93:[30414333,30414425]
82:58:[30414792,30414849]
83:178:[30415743,30415920]
84:656:[30418987,30419642]
85:96:[30421081,30421176]
86:88:[30422412,30422499]
87:158:[30426122,30426279]
88:422:[30426386,30426807]
71:162:[30396937,30397098]
72:103:[30400193,30400295]
73:180:[30402915,30403094]
74:105:[30407157,30407261]
75:105:[30408591,30408695]
90:189:[30409596,30409784]
77:97:[30410655,30410751]
78:132:[30411346,30411477]
79:89:[30411801,30411889]
80:80:[30412929,30413008]
81:93:[30414333,30414425]
82:58:[30414792,30414849]
83:178:[30415743,30415920]
84:656:[30418987,30419642]
85:96:[30421081,30421176]
86:88:[30422412,30422499]
87:158:[30426122,30426279]
88:422:[30426386,30426807]
91:2421:[32490735,32493155]
92:174:[32496839,32497012]
93:89:[32499382,32499470]
94:104:[32502530,32502633]
95:60:[32503207,32503266]
96:110:[32508250,32508359]
97:120:[32513435,32513554]
98:181:[32513642,32513822]
99:110:[32519212,32519321]
100:127:[32524953,32525079]
101:70:[32525383,32525452]
102:181:[32526564,32526744]
103:105:[32537278,32537382]
104:226:[32554737,32554962]
105:88:[32559316,32559403]
106:83:[32567539,32567621]
107:106:[32575223,32575328]
108:172:[32582360,32582531]
109:76:[32585713,32585788]
110:148:[32589868,32590015]
111:187:[32595721,32595907]
112:226:[32598041,32598266]
113:174:[32617803,32617976]
114:449:[32624057,32624505]
115:975:[32638325,32639299]
116:178:[32649047,32649224]
117:181:[32711557,32711737]
118:54:[32836295,32836348]
119:52:[32931239,32931290]
43:1223:[27252860,27254082]
44:148:[27264033,27264180]
45:102:[27269884,27269985]
46:223:[27284052,27284274]
47:101:[27326903,27327003]
48:130:[27327940,27328069]
49:160:[27347382,27347541]
50:76:[27348266,27348341]
51:135:[27354656,27354790]
54:204:[27394155,27394358]
55:195:[27423315,27423509]
56:114:[27425551,27425664]
57:131:[27462258,27462388]
58:169:[27484295,27484463]
59:258:[27542881,27543138]
120:292:[34602230,34602521]
121:139:[34614144,34614282]
122:43:[34615977,34616019]
123:125:[34617255,34617379]
124:174:[34619022,34619195]
125:147:[34621013,34621159]
126:170:[34624966,34625135]
127:132:[34632901,34633032]
128:198:[34634865,34635062]
120:292:[34602230,34602521]
129:93:[34614190,34614282]
122:43:[34615977,34616019]
123:125:[34617255,34617379]
124:174:[34619022,34619195]
