#bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
1	NM_001389	chr21	-	41384342	42219039	41384960	42218587	33	41384342,41414297,41416004,41423884,41427651,41434795,41446963,41450613,41452078,41455834,41457528,41459096,41465647,41496121,41505780,41514484,41516417,41539144,41550853,41559057,41559817,41560968,41648023,41667981,41684007,41710027,41711045,41719596,41725391,41741025,42064735,42080379,42218544,	41385313,41414600,41416202,41424034,41427767,41434826,41447140,41450904,41452267,41455933,41457692,41459214,41465801,41496255,41505936,41514631,41516658,41539215,41551021,41559186,41559914,41561165,41648197,41668101,41684286,41710303,41711342,41719872,41725670,41741172,42064882,42080697,42219039,	0	DSCAM	cmpl	cmpl	1,1,1,1,2,1,1,1,1,1,2,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,
11	NR_027790	chr21	+	17442841	17982094	17982094	17982094	8	17442841,17443433,17553910,17603375,17859809,17909698,17966659,17979313,	17442868,17443718,17554007,17603435,17859858,17909759,17966774,17982094,	0	C21orf34	unk	unk	-1,-1,-1,-1,-1,-1,-1,-1,
11	NR_027791	chr21	+	17566698	17982094	17982094	17982094	6	17566698,17603375,17763933,17859809,17909698,17979313,	17566953,17603435,17764005,17859858,17909759,17982094,	0	C21orf34	unk	unk	-1,-1,-1,-1,-1,-1,
12	NM_001204301	chr21	-	27252860	27543138	27253980	27542938	17	27252860,27264033,27269884,27284052,27326903,27327940,27347382,27348266,27354656,27369674,27372329,27394155,27423315,27425551,27462258,27484295,27542881,	27254082,27264180,27269985,27284274,27327003,27328069,27347541,27348341,27354790,27369731,27372497,27394358,27423509,27425664,27462388,27484463,27543138,	0	APP	cmpl	cmpl	0,0,1,1,0,0,0,0,1,1,1,2,0,1,0,0,0,
12	NM_001136016	chr21	-	27252860	27512708	27253980	27512512	17	27252860,27264033,27269884,27277335,27284052,27326903,27327940,27347382,27348266,27354656,27372329,27394155,27423315,27425551,27462258,27484295,27512470,	27254082,27264180,27269985,27277389,27284274,27327003,27328069,27347541,27348341,27354790,27372497,27394358,27423509,27425664,27462388,27484463,27512708,	0	APP	cmpl	cmpl	0,0,1,1,1,0,0,0,0,1,1,2,0,1,0,0,0,
12	NM_000484	chr21	-	27252860	27543138	27253980	27542938	18	27252860,27264033,27269884,27277335,27284052,27326903,27327940,27347382,27348266,27354656,27369674,27372329,27394155,27423315,27425551,27462258,27484295,27542881,	27254082,27264180,27269985,27277389,27284274,27327003,27328069,27347541,27348341,27354790,27369731,27372497,27394358,27423509,27425664,27462388,27484463,27543138,	0	APP	cmpl	cmpl	0,0,1,1,1,0,0,0,0,1,1,1,2,0,1,0,0,0,
12	NM_001136129	chr21	-	27252860	27543138	27253980	27542938	15	27252860,27264033,27269884,27277335,27284052,27326903,27327940,27347382,27348266,27354656,27394155,27423315,27425551,27462258,27542881,	27254082,27264180,27269985,27277389,27284274,27327003,27328069,27347541,27348341,27354790,27394358,27423509,27425664,27462388,27543138,	0	APP	cmpl	cmpl	0,0,1,1,1,0,0,0,0,1,2,0,1,0,0,
12	NM_001136130	chr21	-	27252860	27543138	27253980	27542938	17	27252860,27264033,27269884,27277335,27284052,27326903,27327940,27347382,27348266,27354656,27369674,27372329,27394155,27423315,27425551,27462258,27542881,	27254082,27264180,27269985,27277389,27284274,27327003,27328069,27347541,27348341,27354790,27369731,27372497,27394358,27423509,27425664,27462388,27543138,	0	APP	cmpl	cmpl	0,0,1,1,1,0,0,0,0,1,1,1,2,0,1,0,0,
12	NM_001204302	chr21	-	27252860	27543138	27253980	27542938	16	27252860,27264033,27269884,27284052,27326903,27327940,27347382,27348266,27354656,27372329,27394155,27423315,27425551,27462258,27484295,27542881,	27254082,27264180,27269985,27284274,27327003,27328069,27347541,27348341,27354790,27372497,27394358,27423509,27425664,27462388,27484463,27543138,	0	APP	cmpl	cmpl	0,0,1,1,0,0,0,0,1,1,2,0,1,0,0,0,
12	NM_201413	chr21	-	27252860	27543138	27253980	27542938	17	27252860,27264033,27269884,27277335,27284052,27326903,27327940,27347382,27348266,27354656,27372329,27394155,27423315,27425551,27462258,27484295,27542881,	27254082,27264180,27269985,27277389,27284274,27327003,27328069,27347541,27348341,27354790,27372497,27394358,27423509,27425664,27462388,27484463,27543138,	0	APP	cmpl	cmpl	0,0,1,1,1,0,0,0,0,1,1,2,0,1,0,0,0,
12	NM_201414	chr21	-	27252860	27543138	27253980	27542938	16	27252860,27264033,27269884,27277335,27284052,27326903,27327940,27347382,27348266,27354656,27394155,27423315,27425551,27462258,27484295,27542881,	27254082,27264180,27269985,27277389,27284274,27327003,27328069,27347541,27348341,27354790,27394358,27423509,27425664,27462388,27484463,27543138,	0	APP	cmpl	cmpl	0,0,1,1,1,0,0,0,0,1,2,0,1,0,0,0,
12	NM_001136131	chr21	-	27252860	27543446	27253980	27484415	16	27252860,27264033,27269884,27277335,27284052,27326903,27327940,27347382,27348266,27354656,27394155,27423315,27425551,27462258,27484295,27543302,	27254082,27264180,27269985,27277389,27284274,27327003,27328069,27347541,27348341,27354790,27394358,27423509,27425664,27462388,27484463,27543446,	0	APP	cmpl	cmpl	0,0,1,1,1,0,0,0,0,1,2,0,1,0,0,-1,
12	NM_007038	chr21	-	28290230	28339439	28296371	28338710	8	28290230,28302204,28304322,28305179,28306784,28315698,28327057,28337606,	28296939,28302380,28304498,28305363,28307068,28315866,28327190,28339439,	0	ADAMTS5	cmpl	cmpl	2,0,1,0,1,1,0,0,
12	NM_001001992	chr21	+	30396937	30426807	30400234	30426508	18	30396937,30400193,30402915,30407157,30408591,30409599,30410655,30411346,30411801,30412929,30414333,30414792,30415743,30418987,30421081,30422412,30426122,30426386,	30397098,30400295,30403094,30407261,30408695,30409784,30410751,30411477,30411889,30413008,30414425,30414849,30415920,30419642,30421176,30422499,30426279,30426807,	0	USP16	cmpl	cmpl	-1,0,1,0,2,1,0,0,2,0,1,0,0,0,1,0,0,1,
12	NM_001032410	chr21	+	30396937	30426807	30400234	30426508	19	30396937,30398029,30400193,30402915,30407157,30408591,30409596,30410655,30411346,30411801,30412929,30414333,30414792,30415743,30418987,30421081,30422412,30426122,30426386,	30397098,30398092,30400295,30403094,30407261,30408695,30409784,30410751,30411477,30411889,30413008,30414425,30414849,30415920,30419642,30421176,30422499,30426279,30426807,	0	USP16	cmpl	cmpl	-1,-1,0,1,0,2,1,0,0,2,0,1,0,0,0,1,0,0,1,
12	NM_006447	chr21	+	30396937	30426807	30400234	30426508	18	30396937,30400193,30402915,30407157,30408591,30409596,30410655,30411346,30411801,30412929,30414333,30414792,30415743,30418987,30421081,30422412,30426122,30426386,	30397098,30400295,30403094,30407261,30408695,30409784,30410751,30411477,30411889,30413008,30414425,30414849,30415920,30419642,30421176,30422499,30426279,30426807,	0	USP16	cmpl	cmpl	-1,0,1,0,2,1,0,0,2,0,1,0,0,0,1,0,0,1,
